empid,firstname,lastname,gender,email,dateofbirth,ageinyears,weightinkgs,yearofjoining,ssn,phoneno,city,zip,region,userid,password,stat
707520,Bernardo,Austin,M,bernardo.austin@hotmail.com,2/2/1975,42.51,64,2005,143-23-9034,319-716-4227,Knoxville,50197,Midwest,blaustin,S:An&6n%>s!,Stop
673049,Cole,Jensen,M,cole.jensen@aol.com,2/10/1990,27.48,74,2011,762-12-1934,405-495-4201,Oklahoma City,73184,South,cejensen,C@#*|0ODx{7%bc,Running
265124,Tonia,Burns,F,tonia.burns@gmail.com,4/19/1985,32.3,50,2014,093-02-0725,209-631-5424,Friant,93626,West,tjburns,0bGtW[zHT?eSq\N,Running
300693,Tod,Holcomb,M,tod.holcomb@outlook.com,6/21/1987,30.12,76,2015,770-02-9125,240-364-4220,Patuxent River,20670,South,tnholcomb,205oA^B^,Stop
369712,Yesenia,Guerrero,F,yesenia.guerrero@btinternet.com,3/29/1968,49.36,41,1994,494-29-3248,240-505-5321,Reisterstown,21136,South,ybguerrero,R:%7@}wYr$,Stop
913253,Carey,Ferrell,M,carey.ferrell@yahoo.com,5/22/1972,45.21,87,2004,522-99-2018,212-495-4523,New Baltimore,12124,Northeast,cbferrell,U~BdKWV?i.,Running
308617,Aileen,Blanchard,F,aileen.blanchard@gmail.com,12/5/1986,30.67,49,2009,401-73-0903,308-788-3843,Herman,68029,Midwest,adblanchard,y^c.5-;po\t,Stop
766783,Marta,Cervantes,F,marta.cervantes@gmail.com,2/17/1971,46.47,48,2016,530-99-5537,206-858-9176,Hoquiam,98550,West,mncervantes,qUe$H{X:O{hd,Running
959506,Arthur,Holloway,M,arthur.holloway@aol.com,9/21/1970,46.88,65,2004,210-84-4283,225-832-0451,Dodson,71422,South,aqholloway,n<@dGdwIzUwvPk,Running
513011,Tara,Forbes,F,tara.forbes@gmail.com,6/26/1976,41.12,55,2009,249-99-1301,319-249-4281,Sheldon,51201,Midwest,tyforbes,Y%4awtgN^R,Stop
290808,Josef,Griffin,M,josef.griffin@yahoo.com,8/14/1976,40.98,73,1998,263-99-4192,209-441-9130,Sacramento,95830,West,jsgriffin,s#m$4tEDNy.WlWS,Running
253588,Keri,Slater,F,keri.slater@apple.com,8/3/1960,57.02,58,1994,391-33-2772,207-842-2965,Friendship,4547,Northeast,kjslater,s//}_Fg#2%3myC,Running
865628,Desmond,Wynn,M,desmond.wynn@hotmail.com,7/9/1992,25.07,58,2013,672-48-8042,209-319-3405,Fresno,93888,West,drwynn,7<mlnx<s+rU7,Stop
583924,Adrienne,Puckett,F,adrienne.puckett@verizon.net,5/22/1975,42.21,47,1997,218-89-2915,209-235-0390,Burlingame,94012,West,ahpuckett,lI+;8<q%jFCwn*,Stop
932453,Beatriz,Knowles,F,beatriz.knowles@gmail.com,2/25/1984,33.44,49,2011,708-18-8763,406-923-1326,Arlee,59821,West,biknowles,HGrMUb9]YhisE,Running
432168,Jermaine,Sykes,M,jermaine.sykes@apple.com,1/18/1990,27.54,51,2016,558-99-4351,239-204-8747,Welaka,32193,South,jssykes,0U_0M\tj[m6gC,Stop
463784,Scott,Best,M,scott.best@cox.net,8/24/1990,26.95,84,2015,118-98-6210,307-504-4165,Bairoil,82322,West,shbest,bvGAV^e7JXQvBt1,Running
721098,Isabel,Espinoza,F,isabel.espinoza@gmail.com,12/9/1971,45.67,47,1993,393-33-2020,405-622-8606,Tupelo,74572,South,iqespinoza,yWuGDStb?sj7d,Running
392678,Marcelino,Kinney,M,marcelino.kinney@gmail.com,1/26/1996,21.52,89,2017,013-94-1066,479-929-0873,Little Rock,72208,South,mykinney,Xw?WXFM{J3GkQq3,Running
880704,Benjamin,Jennings,M,benjamin.jennings@gmail.com,5/21/1977,40.21,53,2001,585-99-8326,907-621-7774,Shungnak,99773,West,bxjennings,4u:O$kyhzQD32$,Stop
186102,Marcia,Casey,F,marcia.casey@gmail.com,7/24/1966,51.05,56,2013,433-99-1252,210-804-3397,Victoria,77903,South,mncasey,3z$F$H*S>,Stop
350367,Rudolph,Gordon,M,rudolph.gordon@aol.com,4/28/1979,38.28,73,2001,461-99-0808,304-418-1131,Shinnston,26431,South,rpgordon,TqE&Z>nRhOgI7d,Stop
893976,Beverly,Rosales,F,beverly.rosales@yahoo.com,3/4/1975,42.43,45,2005,475-55-0832,217-490-8205,Rossville,60963,Midwest,birosales,k?3fJstfE?R,Stop
542826,Marcus,Bolton,M,marcus.bolton@aol.com,7/5/1977,40.09,68,2011,068-02-2280,212-514-2721,Bellerose,11426,Northeast,mdbolton,2OcV@F5^BFn,Stop
590579,Priscilla,Mays,F,priscilla.mays@gmail.com,9/4/1985,31.92,57,2017,377-37-1416,231-346-3176,Fairview,48621,Midwest,pzmays,48fet|^>GE,Running
297741,Lynn,Pena,F,lynn.pena@yahoo.co.in,8/14/1962,54.99,40,1996,524-99-3502,217-334-0502,Castleton,61426,Midwest,lepena,iRa12S<}EeB,Stop
458320,Tessa,Pace,F,tessa.pace@aol.com,12/7/1957,59.68,55,2012,135-25-6072,319-672-2590,Austinville,50608,Midwest,tdpace,t].VIsI_B8,Stop
297059,Rufus,Guerra,M,rufus.guerra@rediffmail.com,12/25/1967,49.62,83,2004,200-84-8326,212-472-1331,Adams Basin,14410,Northeast,rsguerra,ydw~jANV1S.,Stop
874971,Roman,Clark,M,roman.clark@aol.com,12/25/1962,54.63,86,1985,093-02-5729,215-567-2136,Lampeter,17537,Northeast,rrclark,J#zr2h\w,Running
136626,Carmela,Jefferson,F,carmela.jefferson@walmart.com,3/17/1975,42.39,41,2003,395-33-1359,239-941-5976,Keystone Heights,32656,South,cdjefferson,sX[4VN1HRF>w,Running
865495,Thurman,Good,M,thurman.good@yahoo.com,1/27/1996,21.52,90,2017,306-37-8083,217-874-3909,Eddyville,62928,Midwest,tjgood,HB}g+@];%pHTu,Stop
415161,Lemuel,Guerrero,M,lemuel.guerrero@aol.com,6/7/1985,32.16,56,2011,759-12-8112,215-226-4111,Listie,15549,Northeast,lvguerrero,kB1pj3NT#{,Running
279563,Clint,Bridges,M,clint.bridges@aol.com,5/3/1994,23.25,61,2015,366-39-9002,217-331-1409,Blue Island,60406,Midwest,cabridges,5;\NmM6h,Stop
201710,Karyn,Christian,F,karyn.christian@aol.com,5/22/1983,34.21,44,2017,338-11-7664,206-731-9312,Ardenvoir,98811,West,kachristian,YyDQ{@\FB,Running
722543,Lesa,Hughes,F,lesa.hughes@bp.com,2/13/1981,36.48,59,2016,302-15-6438,219-822-4544,Terre Haute,47807,Midwest,lehughes,1!K!f{wRb,Stop
909337,Rich,Bates,M,rich.bates@apple.com,2/28/1989,28.43,75,2011,762-12-7813,270-833-4069,Maysville,41056,South,rmbates,KEmtY;R]83,Stop
601071,Liz,Frank,F,liz.frank@hotmail.com,3/15/1986,31.39,50,2009,361-08-6826,339-926-4628,Amherst,1002,Northeast,lhfrank,z;hrf&a1R6;94m_,Stop
269523,Kendra,Villarreal,F,kendra.villarreal@gmail.com,10/22/1963,53.8,47,2007,298-15-2734,319-625-4770,Beaman,50609,Midwest,kxvillarreal,Kwd>&}C3K],Stop
310986,Maryellen,Mcfadden,F,maryellen.mcfadden@hotmail.co.uk,10/3/1975,41.85,53,2017,437-99-3995,479-467-9379,Tuckerman,72473,South,mrmcfadden,cG:vj~H3f^,Running
323914,German,Carney,M,german.carney@aol.com,7/21/1958,59.06,77,2000,117-98-3137,231-975-6713,Lakeview,48850,Midwest,gmcarney,j#Q!6AZkYL-IIHl,Stop
928739,Micheal,Shannon,M,micheal.shannon@earthlink.net,12/8/1986,30.66,62,2015,610-87-0573,217-864-7925,Arlington,61312,Midwest,mashannon,I2L}VZh1m5S8i,Running
238992,Carlo,Albert,M,carlo.albert@gmail.com,12/6/1961,55.68,70,1996,684-24-8918,212-267-9103,Liverpool,13088,Northeast,cxalbert,zL^Du$>q+nG,Running
434046,Bianca,Langley,F,bianca.langley@gmail.com,6/3/1960,57.19,50,1994,548-99-1891,228-683-5798,Escatawpa,39552,South,bilangley,Z\%t~Y9kmu5,Running
971444,Elias,Cabrera,M,elias.cabrera@yahoo.com,7/13/1990,27.06,50,2016,327-11-4323,215-258-0052,Oaks,19456,Northeast,excabrera,z:}0rg2-}~[P4,Stop
602683,Alberta,Chapman,F,alberta.chapman@comcast.net,6/5/1972,45.18,54,1999,043-15-2394,212-884-9934,Rochester,14611,Northeast,aachapman,C^ga/Cws,Running
145327,Erin,Olsen,M,erin.olsen@yahoo.ca,8/8/1994,22.99,50,2016,078-02-5597,215-325-1574,Farmington,15437,Northeast,emolsen,3KBKoP~;],Stop
597202,Frederic,Stephenson,M,frederic.stephenson@gmail.com,10/15/1969,47.82,58,2013,718-18-4544,314-672-3681,Seligman,65745,Midwest,festephenson,qN|[?G+gj#p2;,Running
168824,Tanner,Caldwell,M,tanner.caldwell@aol.com,4/8/1968,49.34,72,1999,651-62-1143,219-315-4592,Michigan City,46360,Midwest,ttcaldwell,5LO\okOd+n$F*,Running
616665,Clarence,Powers,M,clarence.powers@gmail.com,7/5/1982,35.09,86,2005,485-41-0226,229-748-1788,Macon,31203,South,cipowers,mu4P8p?ImR,Running
396135,German,Sheppard,M,german.sheppard@gmail.com,7/29/1991,26.02,66,2014,521-99-4180,252-794-3936,Matthews,28105,South,gisheppard,d_nOhP*;,Running
966525,Dion,Duffy,M,dion.duffy@aol.com,4/6/1995,22.33,73,2017,537-71-4655,201-358-5413,Plainfield,7063,Northeast,duduffy,sf{A|y:P0pa,Stop
362287,Cornelius,Townsend,M,cornelius.townsend@charter.net,6/2/1970,47.19,70,2009,440-29-7897,314-501-3342,High Point,65042,Midwest,cvtownsend,D}Ye^>k9Hn~D,Stop
798646,Patsy,Koch,F,patsy.koch@gmail.com,7/15/1984,33.06,49,2010,607-87-2784,229-844-7119,Atlanta,30304,South,pnkoch,WH+s*pLB,Stop
451972,Waldo,Shields,M,waldo.shields@aol.com,11/29/1970,46.69,71,2012,770-02-3111,270-993-0450,Wooton,41776,South,wishields,Y#dmn<!U]u}yq[5,Running
993675,Damien,Rose,M,damien.rose@gmail.com,7/15/1965,52.07,80,2005,619-87-8206,304-392-5876,Five Forks,26145,South,dzrose,7!>S[BCy,Running
807964,Curt,Bridges,M,curt.bridges@microsoft.com,10/22/1978,38.79,62,2011,633-31-8420,239-399-1809,Monticello,32344,South,cybridges,dD^M]xn6z+&KV;h,Stop
769123,Brenton,Matthews,M,brenton.matthews@bellsouth.net,11/6/1970,46.76,53,1994,495-29-4565,216-585-2060,Green Camp,43322,Midwest,bnmatthews,gdv}z%QDB#8,Stop
395792,Miguel,Finley,M,miguel.finley@gmail.com,7/6/1980,37.08,67,2004,698-16-2863,405-566-7872,Kingfisher,73750,South,mwfinley,ASzrGkwon\P0,Running
929791,Esperanza,Paul,F,esperanza.paul@aol.com,12/10/1960,56.67,42,1990,318-11-9459,236-750-2453,Lexington,24450,South,eepaul,4Boj*Q2j~eU*|>B,Running
141326,Patricia,Briggs,F,patricia.briggs@yahoo.com,11/13/1975,41.73,53,2000,711-18-1075,240-914-8001,Easton,21601,South,pcbriggs,x-PdHQo?[d-,Stop
232794,Forrest,Noel,M,forrest.noel@hotmail.com,3/25/1978,39.37,84,1999,107-98-0848,239-609-5243,Lee,32059,South,fbnoel,jR2Oz/+^zIZp<,Running
946835,Marjorie,Wells,F,marjorie.wells@bp.com,9/14/1961,55.91,49,2005,725-18-0941,316-282-5461,Baldwin City,66006,Midwest,mjwells,v9i9-_fwqY#T~u,Running
894936,Vivian,Burnett,F,vivian.burnett@gmail.com,2/9/1960,57.5,46,2001,001-11-5958,236-831-5026,Hampden Sydney,23943,South,vtburnett,yp]4_@~E>tzoOB,Stop
946630,Duncan,Chen,M,duncan.chen@yahoo.co.uk,2/17/1964,53.48,69,2000,247-99-3757,239-879-2427,West Palm Beach,33420,South,dlchen,g<\Q-?m#f,Running
381338,Miriam,Barrett,F,miriam.barrett@yahoo.ca,6/25/1990,27.11,59,2016,031-92-2692,210-779-7802,Brady,76825,South,mabarrett,mNCdGZxQSjsDigF,Stop
141178,Adam,Kirby,M,adam.kirby@yahoo.ca,8/11/1963,54,55,2015,152-23-6880,208-736-4975,Potlatch,83855,West,axkirby,K$pE:jff,Running
169763,Benjamin,Macdonald,M,benjamin.macdonald@gmail.com,5/16/1976,41.23,57,1999,295-15-3529,316-561-5979,Tribune,67879,Midwest,bxmacdonald,Hp$e&4ffg\97%TN,Stop
326358,Neil,Murray,M,neil.murray@apple.com,9/17/1985,31.88,90,2016,375-37-8892,603-851-8092,Milton,3851,Northeast,numurray,Y2O1.0^W2k9,Stop
185077,Nichole,Oneil,F,nichole.oneil@shaw.ca,11/30/1957,59.7,58,2008,768-02-1938,209-683-3370,Bangor,95914,West,nsoneil,W.@8w7r6+,Stop
901185,Jonathon,Pearson,M,jonathon.pearson@yahoo.com,9/30/1967,49.86,62,2015,263-99-7250,240-746-0671,Silver Spring,20903,South,jmpearson,Zy:Jp>4:,Running
264960,Brent,Bryant,M,brent.bryant@aol.com,5/9/1960,57.26,86,1985,592-99-1277,423-391-0195,Adamsville,38310,South,bjbryant,EI7+EGFJ5F*,Running
248449,Carlene,Cain,F,carlene.cain@rediffmail.com,11/25/1985,31.69,52,2007,056-02-8441,210-510-0508,Houston,77219,South,cecain,xlbl~et:c,Running
906870,Arnulfo,Pittman,M,arnulfo.pittman@yahoo.ca,9/26/1972,44.87,68,2002,355-08-6207,215-333-8078,Auburn,17922,Northeast,ampittman,THImNj;q,Stop
160503,Nickolas,Williams,M,nickolas.williams@gmail.com,6/23/1985,32.12,51,2009,501-37-0648,307-656-9306,Hanna,82327,West,nzwilliams,PqwnHDz_@LE_,Running
212917,Raymundo,Kramer,M,raymundo.kramer@aol.com,4/29/1975,42.28,82,2002,526-99-6591,252-396-5055,Toast,27049,South,rwkramer,DfZv}BYynv@,Stop
337955,Jeremiah,Dotson,M,jeremiah.dotson@cox.net,7/16/1988,29.05,51,2015,562-99-8892,216-364-7679,Shauck,43349,Midwest,jwdotson,7K]n&w<ui?:R10,Running
171553,Tanner,Matthews,M,tanner.matthews@rediffmail.com,9/24/1976,40.87,75,2008,602-87-3904,907-768-0562,Anchorage,99695,West,timatthews,lIaBsPQ/zWPS,Stop
433510,Dorian,Foster,M,dorian.foster@gmail.com,7/24/1960,57.05,76,2009,021-94-2703,304-937-0141,Canebrake,24819,South,dafoster,ftXOOeN|1,Running
970502,Nora,Hansen,F,nora.hansen@yahoo.co.uk,11/13/1982,34.73,51,2004,766-04-0139,319-877-0443,Woolstock,50599,Midwest,nihansen,bB9KP+rtT$i!&d,Running
668717,Danial,Watts,M,danial.watts@hotmail.com,8/15/1959,57.99,58,2013,235-57-6265,206-245-0115,Joyce,98343,West,dfwatts,tELj.>A;/DA,Running
479832,Nelson,Mcintosh,M,nelson.mcintosh@bp.com,8/17/1975,41.98,76,2005,100-02-9212,239-650-1951,Glen Saint Mary,32040,South,nhmcintosh,B{tM3LeYV^B,Running
273645,Manuel,Fulton,M,manuel.fulton@gmail.com,7/16/1983,34.06,78,2017,695-16-1078,339-281-4930,Peabody,1964,Northeast,mjfulton,cn4e_e1GN,Stop
266284,Dominic,Henson,M,dominic.henson@aol.com,4/8/1979,38.33,90,2003,670-48-0872,314-758-8742,Sumner,64681,Midwest,duhenson,YqhyoPCI,Running
332802,Lowell,Erickson,M,lowell.erickson@gmail.com,9/2/1982,34.93,62,2013,506-57-1112,308-308-0823,Potter,69156,Midwest,lmerickson,FctVw&C1uY;C,Stop
166615,Jayne,Coleman,F,jayne.coleman@yahoo.ca,8/18/1980,36.97,41,2010,361-08-7099,236-667-5880,Norfolk,23506,South,jocoleman,79c@{\0C?MZ,Stop
953967,Cornell,Daniel,M,cornell.daniel@yahoo.com,5/27/1960,57.21,90,2004,285-15-0464,212-208-7933,Woodhaven,11421,Northeast,cgdaniel,v6RaxaFiq|,Running
114425,Doris,Glenn,F,doris.glenn@yahoo.co.uk,1/14/1976,41.56,46,2002,695-16-1021,270-590-4835,Blaine,41124,South,dgglenn,ge|nr_k2r-Nf,Running
676618,Tabatha,Gonzales,F,tabatha.gonzales@sbcglobal.net,6/9/1966,51.17,57,2009,601-99-3515,215-935-5310,Steelville,19370,Northeast,tcgonzales,uv6Cw8.}j@+N7O,Stop
581563,Jerome,Foreman,M,jerome.foreman@verizon.net,12/11/1988,28.65,74,2015,525-99-8310,203-633-8482,Cobalt,6414,Northeast,jeforeman,VDahaJ4:b|R[H&8,Running
925484,Elton,Ferguson,M,elton.ferguson@ibm.com,11/30/1982,34.68,74,2006,060-02-7585,217-662-5907,Lombard,60148,Midwest,elferguson,WG!NJ$k{<?Hk]Pe,Stop
328562,Stacy,Jennings,M,stacy.jennings@gmail.com,6/6/1980,37.17,83,2006,772-02-1098,225-548-6104,Enterprise,71425,South,svjennings,d~i0a$4?rm,Stop
759248,Rory,Fowler,M,rory.fowler@shaw.ca,3/6/1976,41.42,65,2004,582-99-8089,215-234-1586,Templeton,16259,Northeast,rvfowler,QcN86gTm2Ynb-w,Running
158543,Greg,Kane,M,greg.kane@bp.com,4/13/1964,53.33,60,1992,359-08-4375,270-884-8389,Turners Station,40075,South,gskane,q$wVd%Ste:l\vs,Running
275491,Julian,Russo,M,julian.russo@gmail.com,4/15/1958,59.33,85,1988,193-86-6196,207-313-8110,Lisbon Center,4251,Northeast,jyrusso,09%q~$XzoA,Running
257927,Agnes,Herman,F,agnes.herman@gmail.com,12/12/1975,41.65,43,1998,285-15-4898,303-834-2433,Sugar City,81076,West,ajherman,3J4[~WrL7?9H2*,Running
144114,Nancy,Gillespie,F,nancy.gillespie@ibm.com,4/26/1980,37.28,60,2011,571-99-8980,217-435-0157,Cypress,62923,Midwest,npgillespie,AJ|#t:Qi#~/j,Running
262843,Tyrone,Soto,M,tyrone.soto@yahoo.com,4/7/1973,44.34,61,2002,260-99-2602,215-785-6734,Driftwood,15832,Northeast,tnsoto,7#{#HIA{rL{[n,Stop
963676,Bradley,Chan,M,bradley.chan@hotmail.com,6/30/1979,38.1,62,2002,578-53-2084,503-254-6301,Portland,97228,West,blchan,vF|.0d]6H,Stop
745672,Emile,Love,M,emile.love@gmail.com,10/19/1980,36.8,60,2011,463-99-4496,236-371-6203,Mears,23409,South,ealove,uN9wmWiB,Running
135089,Zachary,Gregory,M,zachary.gregory@cox.net,11/14/1986,30.72,80,2010,022-92-4866,907-896-4031,Fairbanks,99708,West,zggregory,L\|gdwM&[G59,Running
593953,Tara,Gutierrez,F,tara.gutierrez@aol.com,1/29/1971,46.53,44,1995,533-71-1082,239-922-7150,Zephyrhills,33543,South,tagutierrez,p;dk*DU{P8Dp,Stop
169348,Aubrey,Pugh,M,aubrey.pugh@gmail.com,12/13/1993,23.64,82,2016,029-92-8064,239-405-4736,Osprey,34229,South,atpugh,a}2|P%rct},Running
976096,Carroll,Sweeney,M,carroll.sweeney@walmart.com,6/13/1989,28.14,58,2016,496-29-5249,218-412-2298,Saint Martin,56376,Midwest,cesweeney,YJiuoTH&6,Running
790389,Claudette,Solomon,F,claudette.solomon@yahoo.com,12/20/1984,32.62,43,2014,715-18-3952,308-298-8715,Omaha,68175,Midwest,cwsolomon,y$+|N?zOGe%3Qea,Running
143898,Ricky,Bowers,M,ricky.bowers@hotmail.com,11/5/1976,40.75,82,2008,579-53-3688,205-610-5770,Mount Hope,35651,South,rcbowers,6+/mp^tb#\n,Running
749765,Brian,Fitzpatrick,M,brian.fitzpatrick@gmail.com,11/30/1978,38.68,64,2007,076-02-8987,239-710-0174,Orlando,32813,South,bsfitzpatrick,m:-.Wp>Y,Running
877422,Nicholas,Branch,M,nicholas.branch@gmail.com,2/4/1992,25.5,66,2013,582-99-0794,209-630-8100,Pomona,91769,West,ntbranch,bkO|Q$?3$Rp9q,Stop
825343,Eileen,Hobbs,F,eileen.hobbs@gmail.com,5/10/1964,53.25,59,1994,721-18-8978,262-747-2220,Oshkosh,54903,Midwest,eahobbs,x5+*MpNi}q2t,Stop
155570,Colin,Wilson,M,colin.wilson@yahoo.com,3/14/1976,41.4,90,2002,456-99-5072,210-884-1227,Conroe,77304,South,cgwilson,d[w[oXu;6^hmP0,Running
587361,Rosario,Trevino,F,rosario.trevino@hotmail.co.uk,12/20/1960,56.64,46,2001,438-99-6733,239-837-1872,Chattahoochee,32324,South,rwtrevino,bXHSZNt&>aj@+,Running
191240,Salvador,Gutierrez,M,salvador.gutierrez@hotmail.com,2/27/1994,23.43,68,2016,433-99-8048,270-927-3494,Huddy,41535,South,sqgutierrez,c++KqaKbE_&,Stop
404070,Aldo,Medina,M,aldo.medina@gmail.com,11/6/1973,43.75,50,2009,450-99-2217,701-676-5051,Linton,58552,Midwest,ajmedina,OXCeV{gf.9L18OC,Stop
192175,Bret,Blevins,M,bret.blevins@gmail.com,9/30/1979,37.85,54,2015,097-02-5670,231-210-4653,Vassar,48768,Midwest,bjblevins,vaU:{zwqX;/vw,Running
825853,Dominic,Mosley,M,dominic.mosley@gmail.com,7/19/1996,21.04,60,2017,524-99-5211,206-882-1588,Vancouver,98663,West,dhmosley,xPr\aGPTQ#v,Running
430843,Karina,Owens,F,karina.owens@gmail.com,10/30/1957,59.78,45,1984,021-94-2215,605-328-0861,Centerville,57014,Midwest,kjowens,Iowni;WUNVGYc^I,Stop
597805,Marquis,Perkins,M,marquis.perkins@aol.com,11/30/1984,32.68,71,2012,395-33-0468,212-941-0218,Manchester,14504,Northeast,mrperkins,f]rj[3.f;Pz3,Running
651120,Damon,Solomon,M,damon.solomon@aol.com,7/31/1964,53.03,75,2008,074-02-6697,218-273-9680,Stacy,55079,Midwest,dgsolomon,f9[2l>kA+nm,Running
995242,Leonel,Atkins,M,leonel.atkins@hotmail.com,7/11/1996,21.06,89,2017,191-86-5365,304-862-3580,Isaban,24846,South,lkatkins,IiiJdi\R.i,Stop
839558,Teddy,Merritt,M,teddy.merritt@msn.com,6/10/1977,40.16,87,2010,330-11-1775,215-283-5083,Timblin,15778,Northeast,tamerritt,vcw3QJ_1b,Running
398788,Alexandria,Long,F,alexandria.long@hotmail.com,2/15/1989,28.47,60,2010,351-08-0065,217-924-3225,Cooksville,61730,Midwest,aylong,UFAVy2jRV2_-g,Stop
166790,Margaret,Reilly,F,margaret.reilly@yahoo.com,10/5/1971,45.84,45,1995,085-02-5151,239-788-2444,Plant City,33567,South,mcreilly,Grf*;O;|,Running
581261,Willis,Rose,M,willis.rose@gmail.com,7/27/1979,38.03,72,2010,502-37-0169,236-423-4606,Freeman,23856,South,wlrose,kYP0pt#Nc%qtMU{,Stop
793523,Donovan,Bowman,M,donovan.bowman@hotmail.com,3/3/1987,30.42,84,2011,333-11-3489,207-867-3545,Monroe,4951,Northeast,dobowman,fm&&1s-W]9>*Q,Stop
178602,Kristina,Mcgowan,F,kristina.mcgowan@gmail.com,8/29/1978,38.94,60,2007,177-86-1872,209-530-2084,Merced,95348,West,kqmcgowan,S\ZzE;:nx~,Running
346662,Garth,Clarke,M,garth.clarke@yahoo.com,11/11/1969,47.74,54,2015,473-55-8809,270-393-1575,Phyllis,41554,South,giclarke,img[SNhtDCW!J,Running
817037,Martin,Buchanan,M,martin.buchanan@charter.net,9/14/1974,42.9,61,2001,698-16-9625,205-434-3924,Centre,35960,South,mwbuchanan,O0M~/dS!K>>e]I,Running
648913,Irwin,Jenkins,M,irwin.jenkins@aol.com,5/20/1975,42.22,75,2013,027-92-7402,231-682-6128,Traverse City,49685,Midwest,idjenkins,FMlA{P<iBZMW,Running
924281,Reynaldo,Sosa,M,reynaldo.sosa@gmail.com,10/15/1965,51.82,73,1989,583-99-6285,212-493-7300,Jamaica,11446,Northeast,rpsosa,7vY/{+49,Stop
951857,Sherri,Snyder,F,sherri.snyder@gmail.com,5/30/1991,26.18,47,2013,690-22-1232,314-249-8205,Saint Louis,63132,Midwest,stsnyder,jvxRJXFB,Running
474759,Johnny,Dunlap,M,johnny.dunlap@gmail.com,11/2/1962,54.77,81,2012,473-55-5773,229-688-3291,Irwinville,31760,South,jedunlap,C#A.5SjDs[zxp^2,Running
144715,Earnest,Kirk,M,earnest.kirk@gmail.com,3/1/1965,52.44,57,2005,424-65-1841,207-952-5215,Masardis,4759,Northeast,exkirk,M&6F&j2[O,Stop
141086,Bernardo,Mcdowell,M,bernardo.mcdowell@gmail.com,5/28/1963,54.21,86,2003,065-02-8230,239-768-1883,Hollywood,33026,South,bqmcdowell,x].e[H5t132P2,Stop
633255,Yvette,Warner,F,yvette.warner@yahoo.com,6/17/1996,21.13,50,2017,080-02-6759,215-245-5970,Orviston,16864,Northeast,yuwarner,UFHv3Ns#MQ-,Running
768457,Robby,Jordan,M,robby.jordan@comcast.net,3/20/1974,43.39,82,2007,731-28-7678,206-604-6965,Metaline,99152,West,rujordan,k[Nqfir#C_n,Stop
583282,Carolina,Coleman,F,carolina.coleman@aol.com,10/30/1994,22.76,53,2016,522-99-8409,239-928-5690,Sanford,32771,South,cycoleman,fwV$Z87v3j{~BWH,Stop
